squidpony.epigon.data.raw.RangedWeapon	name																				
name	description	glyph:c	kind	usage	hands:i	type1	type2	group1	path	maneuver1	maneuver2	precision:i	damage:i	crit:i	evasion:i	defense:i	luck:i	stealth:i	range:i	prepare:i	materials:s[,]
shortbow	A smaller bow that isn't as unwieldy in close-quarters combat as a Longbow, and isn't as conspicuous when carried.	(	Ranged	Projectile	2	Piercing	Piercing	Forceful	Arc	Pin	Arrows	4	4	0	1	0	1	1	4	5	Wood
longbow	A very large bow, usually taller than its wielder, that boasts tremendous range and hefty power.	(	Ranged	Projectile	2	Piercing	Piercing	Forceful	Arc	Heave	Arrows	3	5	1	0	0	1	0	6	4	Wood
light crosssbow	A small machine that launches a bolt with the pull of a trigger; slow to reload, but capable of piercing thick armor.	⊢	Ranged	Projectile	1	Piercing	Piercing	Precise	Straight	Weave	Bolts	6	5	0	0	1	0	1	5	2	Wood
heavy crossbow	A weighty machine that can launch a bolt in an instant, but takes a long time to reload; makes up for it with huge power.	⊢	Ranged	Projectile	2	Piercing	Piercing	Precise	Straight	Weave	Bolts	5	7	0	0	1	0	0	6	1	Wood
pistol	This hand-held firearm is very imprecise, but that doesn't always hinder it because its bullet keeps bouncing after missing.	ᵣ	Ranged	Projectile	1	Piercing	Piercing	Precise	Straight	Ricochet	Powder	1	8	4	0	0	0	3	4	0	Metal
musket	A heavy two-handed firearm with better accuracy than a Pistol and longer range, but more lengthy reload times.	ɼ	Ranged	Projectile	2	Piercing	Piercing	Precise	Straight	Ricochet	Powder	2	9	4	0	0	0	0	5	0	Metal
sling	An early stone-hurling weapon made from cord and hide, it has considerably better range than throwing a rock by hand.	⍩	Ranged	Projectile	1	Blunt	Blunt	Forceful	Arc	Yank	Pellets	3	2	3	0	0	2	4	3	3	Leather
staff sling	A curved staff with cords to hold a projectile at one end, this weapon improves a Sling's range even further.	Ḯ	Ranged	Projectile	2	Blunt	Blunt	Forceful	Arc	Pound	Pellets	2	4	2	0	2	1	1	5	3	Leather
chakram	A bladed hoop with just as much use at medium range as in melee combat, it can be drawn quickly and thrown far.	°	Ranged	Thrown	1	Slashing	Slashing	Blade	Straight	Chop	Blur	4	3	3	0	4	0	0	2	4	Metal
boomerang	A chunk of hard wood, carefully fashioned into a hunting weapon that spins all around the target when it misses.	❮	Ranged	Thrown	1	Blunt	Blunt	Bludgeon	Arc	Pound	Ricochet	3	2	0	1	3	4	1	3	3	Wood
javelin	A very light spear that's primarily meant for throwing, but can be used as a melee weapon in desperate situations.	↗	Ranged	Thrown	1	Piercing	Piercing	Polearm	Arc	Pin	Thrust	4	4	1	1	0	2	1	4	3	Wood
atlatl	A simple-looking device that enables a spear to be thrown much further, and with greater precision, than it can by hand.	⋁	Ranged	Projectile	2	Piercing	Piercing	Forceful	Arc	Heave	Darts	4	7	1	0	0	1	0	5	2	Wood
shuriken	A throwing weapon, shaped like a star or tiny blade, that deals pitiful damage but can be laced with poison.	★	Ranged	Thrown	1	Piercing	Piercing	Dueling	Straight	Pin	Blur	3	1	1	1	0	0	6	2	6	Metal
blowgun	A simple projectile weapon that allows a quick exhalation to propel a needle at the target; usually the needle is poisoned.	⁻	Ranged	Projectile	1	Piercing	Piercing	Precise	Straight	Weave	Needles	4	1	0	0	0	5	6	2	2	Wood
bolas	A pair of weights linked with a cord that can be thrown with a spinning motion to entangle a target's legs or arms.	ʊ	Ranged	Thrown	1	Blunt	Blunt	Flexible	Arc	Yank	Pin	3	2	0	3	0	4	3	2	3	Leather,Stone
net	A heavy mesh with barbed weights on the edge that could be used for fishing or ensnaring fugitives.	⍯	Ranged	Thrown	2	Blunt	Blunt	Flexible	Arc	Pound	Pin	4	0	0	6	3	4	0	2	1	Cloth
grenade	A precursor to other firearms, this is a container of shrapnel and blast powder that causes brutal damage when it works.	¤	Ranged	Projectile	2	Piercing	Slashing	Forceful	Arc	Heave	Powder	0	9	5	3	0	0	0	3	0	Metal
handcannon	A simpler model of firearm that has advanced in parallel to the Musket, this weapon fires a shell in a very long arc.	ɼ	Ranged	Projectile	2	Piercing	Slashing	Precise	Arc	Ricochet	Powder	0	9	5	0	0	0	0	6	0	Metal
throwing dagger	A well-balanced, light-weight knife that is primarily meant to be thrown, but is also usable in close combat in a pinch.	¹	Ranged	Thrown	1	Piercing	Piercing	Dueling	Straight	Blur	Thrust	4	2	2	2	0	0	3	3	4	Metal
